Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,pos_stat
1665261443.1541898,1163,7403,0,GPS1_Frame,42.338891333333336,-71.08810733333334,20.3,327984.9181146592,4689515.672291696,19,T,5
1665261444.1527336,1164,7404,0,GPS1_Frame,42.338889666666674,-71.08810866666667,20.4,327984.80372737895,4689515.489918402,19,T,5
1665261445.1478162,1165,7405,0,GPS1_Frame,42.33888733333333,-71.08811083333332,20.4,327984.61887060385,4689515.235202703,19,T,5
1665261446.1543438,1166,7406,0,GPS1_Frame,42.338885999999995,-71.08811533333332,20.7,327984.24451618595,4689515.096249829,19,T,5
1665261447.1644187,1167,7407,0,GPS1_Frame,42.33888449999999,-71.08811983333334,21.1,327983.8697072745,4689514.938789906,19,T,5
1665261448.161032,1168,7408,0,GPS1_Frame,42.338884166666666,-71.08812366666665,21.3,327983.55300096737,4689514.9095307775,19,T,5
1665261449.153355,1169,7409,0,GPS1_Frame,42.338882999999996,-71.08812733333333,21.5,327983.24775258533,4689514.787399152,19,T,5
1665261450.150137,1170,7410,0,GPS1_Frame,42.33888100000001,-71.08813233333332,21.8,327982.8303892389,4689514.57542961,19,T,5
1665261451.1559234,1171,7411,0,GPS1_Frame,42.33887816666667,-71.08813733333334,22.2,327982.4107534687,4689514.270924756,19,T,5
1665261452.1577554,1172,7412,0,GPS1_Frame,42.33887583333333,-71.088142,22.2,327982.0199417465,4689514.021266776,19,T,5
1665261453.154539,1173,7413,0,GPS1_Frame,42.33887416666667,-71.08814716666667,22.4,327981.5897569565,4689513.846648616,19,T,5
1665261454.15057,1174,7414,0,GPS1_Frame,42.338873,-71.08815200000001,22.4,327981.1883962343,4689513.726877325,19,T,5
1665261455.1492307,1175,7415,0,GPS1_Frame,42.338870833333345,-71.08815733333333,23.0,327980.74311762943,4689513.497075195,19,T,5
1665261456.1556354,1176,7416,0,GPS1_Frame,42.338869333333335,-71.08816283333334,23.6,327980.2859266094,4689513.341638543,19,T,5
1665261457.1555352,1177,7417,0,GPS1_Frame,42.338869499999994,-71.08816716666668,23.9,327979.9293926916,4689513.368912315,19,T,5
1665261458.1530654,1178,7418,0,GPS1_Frame,42.338869666666675,-71.088172,24.1,327979.53166780714,4689513.397197655,19,T,5
1665261459.1504292,1179,7419,0,GPS1_Frame,42.338870833333345,-71.08817716666667,24.1,327979.10920920776,4689513.537199784,19,T,5
1665261460.1526778,1180,7420,0,GPS1_Frame,42.33887183333333,-71.0881825,24.1,327978.6725658124,4689513.659032055,19,T,5
1665261461.1528134,1181,7421,0,GPS1_Frame,42.338874,-71.0881875,24.0,327978.2665645081,4689513.909739454,19,T,5
1665261462.1522956,1182,7422,0,GPS1_Frame,42.33887800000001,-71.08819266666666,24.0,327977.8518323179,4689514.364361803,19,T,5
1665261463.1536453,1183,7423,0,GPS1_Frame,42.33888216666666,-71.08819816666669,24.4,327977.41009403055,4689514.838165613,19,T,5
1665261464.1605268,1184,7424,0,GPS1_Frame,42.33888700000001,-71.08820300000001,24.7,327977.0250950607,4689515.384648978,19,T,5
1665261465.1532314,1185,7425,0,GPS1_Frame,42.338891333333336,-71.088208,25.6,327976.62500234996,4689515.875948348,19,T,5
1665261466.1535134,1186,7426,0,GPS1_Frame,42.338895833333325,-71.08821233333333,26.1,327976.28028546134,4689516.384406056,19,T,5
1665261467.1513884,1187,7427,0,GPS1_Frame,42.3389005,-71.08821649999999,26.0,327975.9497534422,4689516.911033663,19,T,5
1665261468.1580932,1188,7428,0,GPS1_Frame,42.338907166666665,-71.08821999999999,25.5,327975.67959670443,4689517.65839733,19,T,5
1665261469.1527793,1189,7429,0,GPS1_Frame,42.33891583333334,-71.088222,24.7,327975.53846683266,4689518.624811104,19,T,5
1665261470.1465976,1190,7430,0,GPS1_Frame,42.33892516666666,-71.0882215,24.0,327975.60510967125,4689519.660195293,19,T,5
1665261471.1527412,1191,7431,0,GPS1_Frame,42.33893083333334,-71.08822216666668,23.6,327975.5656413747,4689520.29078434,19,T,5
1665261472.1500866,1192,7432,0,GPS1_Frame,42.338936499999996,-71.08822300000001,23.1,327975.51244277926,4689520.921710576,19,T,5
1665261473.1661558,1193,7433,0,GPS1_Frame,42.33894116666667,-71.08822316666667,22.9,327975.5114384378,4689521.44024565,19,T,5
1665261474.1505253,1194,7434,0,GPS1_Frame,42.33894583333334,-71.08822166666666,22.7,327975.6477371623,4689521.955408819,19,T,5
1665261475.147222,1195,7435,0,GPS1_Frame,42.338949166666666,-71.08821933333334,22.6,327975.84905141185,4689522.320829501,19,T,5
1665261476.1479535,1196,7436,0,GPS1_Frame,42.338952333333324,-71.08821683333333,22.8,327976.06364145107,4689522.667405932,19,T,5
1665261477.1466343,1197,7437,0,GPS1_Frame,42.338955,-71.08821350000001,23.0,327976.3455195027,4689522.956775223,19,T,5
1665261478.1587262,1198,7438,0,GPS1_Frame,42.338958,-71.08821033333334,23.0,327976.61457621993,4689523.283495849,19,T,5
1665261479.1543467,1199,7439,0,GPS1_Frame,42.338961,-71.08820633333333,22.9,327976.9522844297,4689523.608530544,19,T,5
1665261480.1562989,1200,7380,0,GPS1_Frame,42.338963500000006,-71.08820133333333,22.7,327977.3710109397,4689523.87602093,19,T,5
1665261481.1502366,1201,7381,0,GPS1_Frame,42.338965666666674,-71.088196,22.7,327977.8162890348,4689524.105822835,19,T,5
1665261482.1480396,1202,7382,0,GPS1_Frame,42.33896783333333,-71.08819083333333,22.8,327978.2478368003,4689524.335961948,19,T,5
1665261483.1488745,1203,7383,0,GPS1_Frame,42.33897033333332,-71.08818600000001,22.7,327978.6528329125,4689524.603789594,19,T,5
1665261484.1539485,1204,7384,0,GPS1_Frame,42.338972500000004,-71.08818066666666,22.7,327979.09811092104,4689524.833591578,19,T,5
1665261485.1625025,1205,7385,0,GPS1_Frame,42.33897466666667,-71.08817483333334,22.5,327979.58457979525,4689525.06238204,19,T,5
1665261486.1627598,1206,7386,0,GPS1_Frame,42.3389765,-71.08816883333334,22.4,327980.08386996354,4689525.253821218,19,T,5
1665261487.1533332,1207,7387,0,GPS1_Frame,42.338978166666664,-71.08816383333333,22.5,327980.500323822,4689525.428776448,19,T,5
1665261488.1525884,1208,7388,0,GPS1_Frame,42.338978833333336,-71.08815816666666,22.5,327980.9689719423,4689525.49134058,19,T,5
1665261489.1552277,1209,7389,0,GPS1_Frame,42.3389785,-71.08815166666668,22.5,327981.50354465016,4689525.441176443,19,T,5
1665261490.152864,1210,7390,0,GPS1_Frame,42.33897783333334,-71.08814566666668,22.3,327981.9960174973,4689525.355009748,19,T,5
1665261491.1526062,1211,7391,0,GPS1_Frame,42.33897683333333,-71.08814000000001,22.2,327982.4601207961,4689525.232503305,19,T,5
1665261492.1479216,1212,7392,0,GPS1_Frame,42.338975666666656,-71.088135,22.1,327982.86884843116,4689525.092838532,19,T,5
1665261493.1567214,1213,7393,0,GPS1_Frame,42.3389735,-71.088129,21.8,327983.35723101,4689524.840108329,19,T,5
1665261494.155895,1214,7394,0,GPS1_Frame,42.33897066666667,-71.08812249999998,21.5,327983.88498661853,4689524.51233837,19,T,5
1665261495.151011,1215,7395,0,GPS1_Frame,42.33896733333332,-71.08811600000001,21.2,327984.4113788464,4689524.129047249,19,T,5
