Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter
1663819638.4192238,1,146592960,0,GPS1_Frame,42.343328333333325,-71.10250500000001,36.5,326810.9933345029,4690037.59545796,19,T
1663819639.4121413,2,146596561,0,GPS1_Frame,42.343328333333325,-71.10250500000001,36.5,326810.9933345029,4690037.59545796,19,T
1663819640.4118793,3,146600162,0,GPS1_Frame,42.343328333333325,-71.10250500000001,36.5,326810.9933345029,4690037.59545796,19,T
1663819641.420259,4,146603763,0,GPS1_Frame,42.343328333333325,-71.10250500000001,36.5,326810.9933345029,4690037.59545796,19,T
1663819642.4231749,5,146607364,0,GPS1_Frame,42.343328333333325,-71.10250500000001,36.5,326810.9933345029,4690037.59545796,19,T
1663819643.4194965,6,146610965,0,GPS1_Frame,42.343328333333325,-71.10250500000001,36.5,326810.9933345029,4690037.59545796,19,T
1663819644.419015,7,146614493,979999989,GPS1_Frame,42.343328333333325,-71.10250500000001,36.5,326810.9933345029,4690037.59545796,19,T
1663819645.3197718,8,146618094,979999989,GPS1_Frame,42.343338333333335,-71.10248,35.3,326813.0801976491,4690038.6549584,19,T
1663819646.3176496,9,146621695,979999989,GPS1_Frame,42.34334333333332,-71.10246666666667,34.8,326814.1922757772,4690039.183011357,19,T
1663819647.4209454,10,146625441,20000010,GPS1_Frame,42.34335,-71.10245499999999,34.0,326815.171636528,4690039.8995304,19,T
1663819648.4196057,11,146629042,20000010,GPS1_Frame,42.34334833333334,-71.10244666666668,34.4,326815.8535280955,4690039.697484686,19,T
1663819649.4183407,12,146632643,20000010,GPS1_Frame,42.343346666666676,-71.10243666666668,34.7,326816.6727132947,4690039.49204411,19,T
1663819650.418396,13,146636172,0,GPS1_Frame,42.343346666666676,-71.10243333333332,34.6,326816.9473004857,4690039.485254257,19,T
1663819651.4083629,14,146639773,0,GPS1_Frame,42.34334833333334,-71.10243333333332,34.6,326816.9518768226,4690039.670325211,19,T
1663819652.4190135,15,146643374,0,GPS1_Frame,42.34334833333334,-71.10243333333332,34.6,326816.9518768226,4690039.670325211,19,T
1663819653.4173956,16,146646975,0,GPS1_Frame,42.343346666666676,-71.10243333333332,34.6,326816.9473004857,4690039.485254257,19,T
1663819654.4185944,17,146650503,979999989,GPS1_Frame,42.343346666666676,-71.10243333333332,34.6,326816.9473004857,4690039.485254257,19,T
1663819655.4124055,18,146654104,979999989,GPS1_Frame,42.343346666666676,-71.10243333333332,34.6,326816.9473004857,4690039.485254257,19,T
