Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,pos_stat
1665257185.1131666,24,3745,0,GPS1_Frame,42.338255000000004,-71.08646733333333,40.2,328118.29063720116,4689441.695854588,19,T,5
1665257186.123417,25,3746,0,GPS1_Frame,42.33825866666666,-71.08646416666667,40.0,328118.56150626857,4689442.096608773,19,T,5
1665257187.0961218,26,3747,0,GPS1_Frame,42.33826316666667,-71.08645866666666,39.9,328119.02687220485,4689442.585181619,19,T,5
1665257188.09643,27,3748,0,GPS1_Frame,42.338269499999996,-71.08645083333334,39.9,328119.6894595894,4689443.27261554,19,T,5
1665257189.1077578,28,3749,0,GPS1_Frame,42.338276,-71.08644333333334,39.8,328120.3250400496,4689443.979230392,19,T,5
1665257190.1206944,29,3750,0,GPS1_Frame,42.33828266666666,-71.08643583333334,39.7,328120.961074488,4689444.704352358,19,T,5
1665257191.1018975,30,3751,0,GPS1_Frame,42.338288999999996,-71.08642833333333,39.7,328121.5962005978,4689445.392460255,19,T,5
1665257192.1091676,31,3752,0,GPS1_Frame,42.33829533333332,-71.08642050000002,39.7,328122.25878747413,4689446.079894407,19,T,5
1665257193.1238096,32,3753,0,GPS1_Frame,42.338301333333334,-71.08641316666666,39.7,328122.8792746896,4689446.731325186,19,T,5
1665257194.101031,33,3754,0,GPS1_Frame,42.338308000000005,-71.08640516666667,39.7,328123.5564999578,4689447.455436686,19,T,5
1665257195.1344056,34,3755,0,GPS1_Frame,42.338314000000004,-71.08639616666666,39.7,328124.31429136137,4689448.1034986265,19,T,5
1665257196.117968,35,3756,0,GPS1_Frame,42.33832066666667,-71.08638716666667,39.9,328125.07389900065,4689448.825588898,19,T,5
1665257197.1057787,36,3757,0,GPS1_Frame,42.33832716666667,-71.08637866666665,39.9,328125.791861075,4689449.530182862,19,T,5
1665257198.109227,37,3758,0,GPS1_Frame,42.338333666666664,-71.08637099999999,39.9,328126.4411708119,4689450.236461346,19,T,5
1665257199.1099963,38,3759,0,GPS1_Frame,42.33834016666667,-71.08636383333335,39.9,328127.04928910814,4689450.943750556,19,T,5
1665257200.1073575,39,3760,0,GPS1_Frame,42.33834650000001,-71.08635633333334,39.8,328127.68441407266,4689451.631858975,19,T,5
1665257201.1048405,40,3761,0,GPS1_Frame,42.33835300000001,-71.08634816666667,39.8,328128.37491473556,4689452.337126967,19,T,5
1665257202.0932374,41,3762,0,GPS1_Frame,42.33836066666666,-71.08633916666665,39.9,328129.1372460105,4689453.170260036,19,T,5
1665257203.1039507,42,3763,0,GPS1_Frame,42.338367500000004,-71.08632949999999,39.8,328129.95222842,4689453.909510336,19,T,5
1665257204.1102967,43,3764,0,GPS1_Frame,42.33837366666667,-71.0863205,39.8,328130.71047262475,4689454.576079998,19,T,5
1665257205.1377335,44,3765,0,GPS1_Frame,42.33838033333333,-71.08631216666667,39.8,328131.4151572065,4689455.299518455,19,T,5
1665257206.1310806,45,3766,0,GPS1_Frame,42.338388,-71.08630316666665,39.7,328132.17748780857,4689456.132651842,19,T,5
1665257207.1156445,46,3767,0,GPS1_Frame,42.33839516666667,-71.08629433333333,39.6,328132.92472558084,4689456.910600994,19,T,5
1665257208.1107345,47,3768,0,GPS1_Frame,42.33840216666667,-71.08628566666665,39.6,328133.6577786991,4689457.670380036,19,T,2
1665257209.1185026,48,3769,0,GPS1_Frame,42.338409500000004,-71.08627566666668,39.5,328134.5015831734,4689458.464478276,19,T,2
1665257210.131176,49,3770,0,GPS1_Frame,42.33841916666667,-71.08626533333332,39.5,328135.379205249,4689459.517001756,19,T,5
1665257211.1108556,50,3771,0,GPS1_Frame,42.33842733333332,-71.08625716666667,39.4,328136.07424504124,4689460.4073411,19,T,5
1665257212.145772,51,3772,0,GPS1_Frame,42.33843466666667,-71.08624966666666,39.4,328136.71209267713,4689461.206492681,19,T,5
1665257213.1464417,52,3773,0,GPS1_Frame,42.33844199999999,-71.08624166666667,39.4,328137.3911314171,4689462.004633702,19,T,5
1665257214.1059952,53,3774,0,GPS1_Frame,42.3384485,-71.086234,39.4,328138.04043887526,4689462.710913206,19,T,5
1665257215.1428678,54,3775,0,GPS1_Frame,42.338455,-71.08622583333334,39.3,328138.73093743774,4689463.416182166,19,T,5
1665257216.1473079,55,3776,0,GPS1_Frame,42.33846066666667,-71.0862175,39.3,328139.43289598764,4689464.028579007,19,T,5
